county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
.Apache County,69507,67863,67319,68072,68161,68521,69390,69602,69883,71008
.Cochise County,118132,118798,119847,120638,123234,125786,127241,128206,129023,130081
.Coconino County,116773,118283,121308,122882,125117,127025,128695,130442,131853,133477
.Gila County,51332,51274,51478,51337,51423,51655,52541,53252,53437,53561
.Graham County,33511,33356,33224,32985,32703,32964,33701,35175,36639,37525
.Greenlee County,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635
.La Paz County,19611,19580,19464,19722,19979,20379,20573,20647,20555,20514
.Maricopa County,3092197,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779
.Mohave County,156215,160312,166155,172633,180521,188773,196168,199760,200078,199696
.Navajo County,97689,97849,100123,101529,102774,104184,105624,106927,107626,107571
.Pima County,848019,859280,874267,885893,901342,920298,940930,955869,967778,975580
.Pinal County,181280,187747,197082,207920,219472,235708,271328,306174,335311,349830
.Santa Cruz County,38589,39288,40009,40625,41623,42961,44298,45338,46144,47011
.Yavapai County,168608,172636,177362,182090,187822,195424,204082,208773,211211,211172
.Yuma County,160576,162873,165398,168003,172824,178816,183848,187357,191202,193714
