year,state,infected_count,population,rate
2022,Arizona,9832,7359197.0,133.60153288463403
2021,Arizona,11489,7151507.0,160.6514543018695
2020,Arizona,11523,7151507.0,161.12687857258618
2019,Arizona,10358,7151507.0,144.83660576714811
2018,Arizona,7478,7151507.0,104.5653734240909
2017,Arizona,6885,7151507.0,96.27341482012113
2016,Arizona,6101,7151507.0,85.31069046006667
2015,Arizona,7622,7151507.0,106.57893504124375
2014,Arizona,5624,6392017.0,87.98474722454587
2013,Arizona,5861,6392017.0,91.69249706313359
2012,Arizona,12920,6392017.0,202.12712200233508
2011,Arizona,16467,6392017.0,257.6182134684561
2010,Arizona,11883,6392017.0,185.90376089425294
2009,Arizona,10233,6392017.0,160.09031265092065
2008,Arizona,4768,6392017.0,74.59304316618683
2007,Arizona,4832,6392017.0,75.59429206774638
2006,Arizona,5535,6392017.0,86.59238547081462
2005,Arizona,3516,6392017.0,55.00611152942803
2004,Arizona,3667,5130247.0,71.47803994622481
2003,Arizona,2695,5130247.0,52.531583761951424
2002,Arizona,3133,5130247.0,61.06918438819807
2001,Arizona,2301,5130247.0,44.85164164610398
2000,Arizona,1917,5130247.0,37.36662191898363
1999,Arizona,1812,5130247.0,35.319936837349154
1998,Arizona,1474,5130247.0,28.731560098373432
2022,California,7222,39029342.0,18.50402704713802
2021,California,8030,39538245.0,20.30944974922382
2020,California,7252,39538245.0,18.34173469257424
2019,California,9090,39538245.0,22.990398283990604
2018,California,7636,39538245.0,19.312946237244468
2017,California,6925,39538245.0,17.514687361565997
2016,California,5358,39538245.0,13.551436084226802
2015,California,3053,39538245.0,7.721637619474511
2014,California,2243,37253956.0,6.0208370890865925
2013,California,3272,37253956.0,8.78295985532382
2012,California,4431,37253956.0,11.89403885053174
2011,California,5697,37253956.0,15.292335664969379
2010,California,4622,37253956.0,12.406736079250214
2009,California,2488,37253956.0,6.678485366762123
2008,California,2597,37253956.0,6.971071743360625
2007,California,2991,37253956.0,8.028677545010254
2006,California,3131,37253956.0,8.404476560824843
2005,California,2885,37253956.0,7.744144004464922
2004,California,2641,33871653.0,7.797080349163945
2003,California,2091,33871653.0,6.173303676676188
2002,California,1727,33871653.0,5.098658751611562
2001,California,1538,33871653.0,4.540670040520314
2000,California,840,33871653.0,2.479949827072213
1999,California,939,33871653.0,2.7722296281200096
1998,California,719,33871653.0,2.122718959124906
2022,"Nevada, New Mexico, Utah",269,8671916.0,3.101967316104077
2021,"Nevada, New Mexico, Utah",258,8493765.0,3.0375222295413167
2020,"Nevada, New Mexico, Utah",294,8493765.0,3.4613625406401045
2019,"Nevada, New Mexico, Utah",350,8493765.0,4.12066969123822
2018,"Nevada, New Mexico, Utah",276,8493765.0,3.2494423850907106
2017,"Nevada, New Mexico, Utah",279,8493765.0,3.2847624110156097
2016,"Nevada, New Mexico, Utah",151,8493765.0,1.777774638219918
2015,"Nevada, New Mexico, Utah",198,8493765.0,2.3311217110433358
2014,"Nevada, New Mexico, Utah",156,7523615.0,2.0734713299391316
2013,"Nevada, New Mexico, Utah",162,7523615.0,2.153220227244483
2012,"Nevada, New Mexico, Utah",211,7523615.0,2.8045028885715175
2011,"Nevada, New Mexico, Utah",237,7523615.0,3.150081443561373
2010,"Nevada, New Mexico, Utah",159,7523615.0,2.1133457785918073
2009,"Nevada, New Mexico, Utah",147,7523615.0,1.9538479839811047
2008,"Nevada, New Mexico, Utah",99,7523615.0,1.315856805538295
2007,"Nevada, New Mexico, Utah",163,7523615.0,2.166511710128708
2006,"Nevada, New Mexico, Utah",140,7523615.0,1.8608076037915284
2005,"Nevada, New Mexico, Utah",108,7523615.0,1.435480151496322
2004,"Nevada, New Mexico, Utah",110,6050450.0,1.8180465915758333
2003,"Nevada, New Mexico, Utah",55,6050450.0,0.9090232957879166
2002,"Nevada, New Mexico, Utah",63,6050450.0,1.0412448660843407
2001,"Nevada, New Mexico, Utah",63,6050450.0,1.0412448660843407
2000,"Nevada, New Mexico, Utah",67,6050450.0,1.107355651232553
1999,"Nevada, New Mexico, Utah",55,6050450.0,0.9090232957879166
1998,"Nevada, New Mexico, Utah",72,6050450.0,1.189994132667818
2022,Southwest,17323,55060455.0,31.461781418261072
2021,Southwest,19777,55183517.0,35.838600138516
2020,Southwest,19069,55183517.0,34.55560833500336
2019,Southwest,19798,55183517.0,35.87665498014561
2018,Southwest,15390,55183517.0,27.888762508558486
2017,Southwest,14089,55183517.0,25.531174462838244
2016,Southwest,11610,55183517.0,21.038891015228334
2015,Southwest,10873,55183517.0,19.703347287560522
2014,Southwest,8023,51169588.0,15.679235095658774
2013,Southwest,9295,51169588.0,18.16508665264219
2012,Southwest,17562,51169588.0,34.321167487219164
2011,Southwest,22401,51169588.0,43.77795654715844
2010,Southwest,16664,51169588.0,32.56621882513496
2009,Southwest,12868,51169588.0,25.147749870489477
2008,Southwest,7464,51169588.0,14.586789324940431
2007,Southwest,7986,51169588.0,15.606926520494946
2006,Southwest,8806,51169588.0,17.209440888990546
2005,Southwest,6509,51169588.0,12.72044637138763
2004,Southwest,6418,45052350.0,14.245649782974693
2003,Southwest,4841,45052350.0,10.745277438357821
2002,Southwest,4923,45052350.0,10.927287921717735
2001,Southwest,3902,45052350.0,8.661035439882713
2000,Southwest,2824,45052350.0,6.268263475712144
1999,Southwest,2806,45052350.0,6.228309954974602
1998,Southwest,2265,45052350.0,5.027484692807367
2022,Otherstates,254,273152806.0,0.09298824482879374
2021,Otherstates,396,271241647.0,0.1459952792573922
2020,Otherstates,313,271241647.0,0.115395258604959
2019,Otherstates,290,271241647.0,0.10691573480970643
2018,Otherstates,311,271241647.0,0.11465790870971965
2017,Otherstates,275,271241647.0,0.10138561059541126
2016,Otherstates,219,271241647.0,0.08073981352870932
2015,Otherstates,199,271241647.0,0.07336631457631579
2014,Otherstates,209,252796214.0,0.08267528880001343
2013,Otherstates,143,252796214.0,0.056567302863167086
2012,Otherstates,240,252796214.0,0.09493813067944126
2011,Otherstates,240,252796214.0,0.09493813067944126
2010,Otherstates,129,252796214.0,0.05102924524019968
2009,Otherstates,75,252796214.0,0.029668165837325396
2008,Otherstates,69,252796214.0,0.027294712570339365
2007,Otherstates,149,252796214.0,0.058940756130153114
2006,Otherstates,118,252796214.0,0.04667791425072529
2005,Otherstates,43,252796214.0,0.017009748413399896
2004,Otherstates,44,231925043.0,0.01897164680055702
2003,Otherstates,19,231925043.0,0.00819230202751326
2002,Otherstates,32,231925043.0,0.013797561309496017
2001,Otherstates,30,231925043.0,0.012935213727652516
2000,Otherstates,41,231925043.0,0.017678125427791774
1999,Otherstates,20,231925043.0,0.008623475818435011
1998,Otherstates,6,231925043.0,0.002587042745530503
