year,fips,month,temp
1895,04001,Jan,2.48
1896,04001,Jan,0.22
1897,04001,Jan,2.05
1898,04001,Jan,1.33
1899,04001,Jan,0.49
1900,04001,Jan,0.19
1901,04001,Jan,1.34
1902,04001,Jan,0.85
1903,04001,Jan,0.21
1904,04001,Jan,0.25
1905,04001,Jan,2.11
1906,04001,Jan,0.92
1907,04001,Jan,1.83
1908,04001,Jan,0.91
1909,04001,Jan,0.69
1910,04001,Jan,1.27
1911,04001,Jan,1.18
1912,04001,Jan,0.03
1913,04001,Jan,0.5
1914,04001,Jan,0.88
1915,04001,Jan,2.09
1916,04001,Jan,3.96
1917,04001,Jan,1.63
1918,04001,Jan,1.36
1919,04001,Jan,0.33
1920,04001,Jan,1.61
1921,04001,Jan,0.53
1922,04001,Jan,1.21
1923,04001,Jan,0.85
1924,04001,Jan,0.3
1925,04001,Jan,0.31
1926,04001,Jan,0.77
1927,04001,Jan,0.18
1928,04001,Jan,0.1
1929,04001,Jan,0.54
1930,04001,Jan,1.68
1931,04001,Jan,0.39
1932,04001,Jan,1.13
1933,04001,Jan,0.72
1934,04001,Jan,0.36
1935,04001,Jan,2.1
1936,04001,Jan,1.06
1937,04001,Jan,1.54
1938,04001,Jan,0.61
1939,04001,Jan,1.3
1940,04001,Jan,0.99
1941,04001,Jan,2.05
1942,04001,Jan,0.49
1943,04001,Jan,1.44
1944,04001,Jan,0.94
1945,04001,Jan,0.93
1946,04001,Jan,0.77
1947,04001,Jan,0.47
1948,04001,Jan,0.47
1949,04001,Jan,2.14
1950,04001,Jan,0.41
1951,04001,Jan,1.1
1952,04001,Jan,2.17
1953,04001,Jan,0.35
1954,04001,Jan,0.63
1955,04001,Jan,1.12
1956,04001,Jan,1.62
1957,04001,Jan,2.64
1958,04001,Jan,0.48
1959,04001,Jan,0.43
1960,04001,Jan,1.08
1961,04001,Jan,0.61
1962,04001,Jan,1.12
1963,04001,Jan,0.9
1964,04001,Jan,0.44
1965,04001,Jan,1.71
1966,04001,Jan,0.49
1967,04001,Jan,0.32
1968,04001,Jan,0.27
1969,04001,Jan,1.2
1970,04001,Jan,0.44
1971,04001,Jan,0.32
1972,04001,Jan,0.07
1973,04001,Jan,0.86
1974,04001,Jan,2.06
1975,04001,Jan,0.89
1976,04001,Jan,0.24
1977,04001,Jan,1.18
1978,04001,Jan,1.88
1979,04001,Jan,2.5
1980,04001,Jan,2.44
1981,04001,Jan,0.41
1982,04001,Jan,1.63
1983,04001,Jan,1.31
1984,04001,Jan,0.22
1985,04001,Jan,1.48
1986,04001,Jan,0.08
1987,04001,Jan,1.15
1988,04001,Jan,1.03
1989,04001,Jan,0.89
1990,04001,Jan,0.46
1991,04001,Jan,1.03
1992,04001,Jan,0.79
1993,04001,Jan,3.98
1994,04001,Jan,0.36
1995,04001,Jan,2.04
1996,04001,Jan,0.26
1997,04001,Jan,1.76
1998,04001,Jan,0.61
1999,04001,Jan,0.09
2000,04001,Jan,0.47
2001,04001,Jan,1.08
2002,04001,Jan,0.39
2003,04001,Jan,0.18
2004,04001,Jan,0.63
2005,04001,Jan,1.89
2006,04001,Jan,0.21
2007,04001,Jan,0.83
2008,04001,Jan,1.99
2009,04001,Jan,0.62
2010,04001,Jan,2.9
2011,04001,Jan,0.2
2012,04001,Jan,0.34
2013,04001,Jan,1.1
2014,04001,Jan,0.02
2015,04001,Jan,2.07
2016,04001,Jan,0.71
2017,04001,Jan,1.6
2018,04001,Jan,0.51
2019,04001,Jan,1.08
2020,04001,Jan,1.05
2021,04001,Jan,0.93
2022,04001,Jan,0.43
2023,04001,Jan,1.54
1895,04003,Jan,1
1896,04003,Jan,0.52
1897,04003,Jan,1.98
1898,04003,Jan,1.61
1899,04003,Jan,0.51
1900,04003,Jan,0.29
1901,04003,Jan,1.46
1902,04003,Jan,0.3
1903,04003,Jan,0.18
1904,04003,Jan,0.11
1905,04003,Jan,2.15
1906,04003,Jan,0.7
1907,04003,Jan,3.66
1908,04003,Jan,0.93
1909,04003,Jan,0.33
1910,04003,Jan,0.57
1911,04003,Jan,1.48
1912,04003,Jan,0.02
1913,04003,Jan,0.81
1914,04003,Jan,0.64
1915,04003,Jan,1.88
1916,04003,Jan,3.93
1917,04003,Jan,2.25
1918,04003,Jan,1.67
1919,04003,Jan,0.31
1920,04003,Jan,1.94
1921,04003,Jan,0.33
1922,04003,Jan,0.86
1923,04003,Jan,0.11
1924,04003,Jan,0.14
1925,04003,Jan,0.13
1926,04003,Jan,1.03
1927,04003,Jan,0.01
1928,04003,Jan,0
1929,04003,Jan,0.53
1930,04003,Jan,1.25
1931,04003,Jan,0.6
1932,04003,Jan,1.27
1933,04003,Jan,1.49
1934,04003,Jan,0.29
1935,04003,Jan,0.85
1936,04003,Jan,0.94
1937,04003,Jan,1.04
1938,04003,Jan,0.68
1939,04003,Jan,0.55
1940,04003,Jan,0.56
1941,04003,Jan,1.37
1942,04003,Jan,0.6
1943,04003,Jan,0.95
1944,04003,Jan,0.98
1945,04003,Jan,0.93
1946,04003,Jan,2.27
1947,04003,Jan,0.66
1948,04003,Jan,0.08
1949,04003,Jan,2.9
1950,04003,Jan,0.52
1951,04003,Jan,1.14
1952,04003,Jan,0.67
1953,04003,Jan,0.02
1954,04003,Jan,0.81
1955,04003,Jan,1.78
1956,04003,Jan,0.68
1957,04003,Jan,1.75
