year,fips,month,temp
1895,04001,Jan,30.7
1896,04001,Jan,33.3
1897,04001,Jan,29
1898,04001,Jan,23.1
1899,04001,Jan,23.6
1900,04001,Jan,36
1901,04001,Jan,32.2
1902,04001,Jan,33
1903,04001,Jan,31.2
1904,04001,Jan,27.4
1905,04001,Jan,32.7
1906,04001,Jan,27.3
1907,04001,Jan,34.6
1908,04001,Jan,33.4
1909,04001,Jan,36.3
1910,04001,Jan,31.1
1911,04001,Jan,36.4
1912,04001,Jan,29.7
1913,04001,Jan,25.3
1914,04001,Jan,34.1
1915,04001,Jan,26.4
1916,04001,Jan,31.6
1917,04001,Jan,25.9
1918,04001,Jan,26.8
1919,04001,Jan,17
1920,04001,Jan,30.1
1921,04001,Jan,33.5
1922,04001,Jan,26.9
1923,04001,Jan,34.6
1924,04001,Jan,26
1925,04001,Jan,22.7
1926,04001,Jan,28.5
1927,04001,Jan,33.7
1928,04001,Jan,31.9
1929,04001,Jan,29.7
1930,04001,Jan,26.8
1931,04001,Jan,27
1932,04001,Jan,22
1933,04001,Jan,21
1934,04001,Jan,32.3
1935,04001,Jan,32.6
1936,04001,Jan,30.4
1937,04001,Jan,15.6
1938,04001,Jan,33
1939,04001,Jan,30.4
1940,04001,Jan,31.2
1941,04001,Jan,31.8
1942,04001,Jan,29.4
1943,04001,Jan,32.6
1944,04001,Jan,27.1
1945,04001,Jan,30.6
1946,04001,Jan,26.8
1947,04001,Jan,26.4
1948,04001,Jan,30.1
1949,04001,Jan,24.1
1950,04001,Jan,31
1951,04001,Jan,30.4
1952,04001,Jan,32
1953,04001,Jan,35.4
1954,04001,Jan,33
1955,04001,Jan,26.4
1956,04001,Jan,36.8
1957,04001,Jan,33.3
1958,04001,Jan,29.8
1959,04001,Jan,31.9
1960,04001,Jan,24.4
1961,04001,Jan,28.9
1962,04001,Jan,25.1
1963,04001,Jan,24.4
1964,04001,Jan,26.6
1965,04001,Jan,32.3
1966,04001,Jan,27.3
1967,04001,Jan,28.1
1968,04001,Jan,24
1969,04001,Jan,33.8
1970,04001,Jan,30.3
1971,04001,Jan,29.8
1972,04001,Jan,31.7
1973,04001,Jan,24.8
1974,04001,Jan,28.4
1975,04001,Jan,28.1
1976,04001,Jan,29.2
1977,04001,Jan,25.5
1978,04001,Jan,33.6
1979,04001,Jan,25.8
1980,04001,Jan,33.3
1981,04001,Jan,35.4
1982,04001,Jan,30.5
1983,04001,Jan,31.4
1984,04001,Jan,30.2
1985,04001,Jan,30.2
1986,04001,Jan,36.7
1987,04001,Jan,28.6
1988,04001,Jan,27.4
1989,04001,Jan,27.8
1990,04001,Jan,29.6
1991,04001,Jan,27.6
1992,04001,Jan,25.3
1993,04001,Jan,34.4
1994,04001,Jan,32.1
1995,04001,Jan,32.5
1996,04001,Jan,33.7
1997,04001,Jan,29.9
1998,04001,Jan,34
1999,04001,Jan,35.5
2000,04001,Jan,35.2
2001,04001,Jan,29.2
2002,04001,Jan,32.1
2003,04001,Jan,37.6
2004,04001,Jan,31.6
2005,04001,Jan,37.2
2006,04001,Jan,33.4
2007,04001,Jan,27.8
2008,04001,Jan,27.3
2009,04001,Jan,33.6
2010,04001,Jan,28.3
2011,04001,Jan,28
2012,04001,Jan,34.1
2013,04001,Jan,25.5
2014,04001,Jan,33.7
2015,04001,Jan,34.5
2016,04001,Jan,31
2017,04001,Jan,33.3
2018,04001,Jan,35.5
2019,04001,Jan,30.3
2020,04001,Jan,32.8
2021,04001,Jan,30.3
2022,04001,Jan,32.3
2023,04001,Jan,31
1895,04003,Jan,43
1896,04003,Jan,46.1
1897,04003,Jan,41.6
1898,04003,Jan,37.6
1899,04003,Jan,41.8
1900,04003,Jan,47.5
1901,04003,Jan,46.2
1902,04003,Jan,44.8
1903,04003,Jan,44.3
1904,04003,Jan,39.8
1905,04003,Jan,46.5
1906,04003,Jan,41.6
1907,04003,Jan,45.8
1908,04003,Jan,44.4
1909,04003,Jan,48.5
1910,04003,Jan,45
1911,04003,Jan,47.7
1912,04003,Jan,42.9
1913,04003,Jan,39.1
1914,04003,Jan,46.2
1915,04003,Jan,40.8
1916,04003,Jan,44.8
1917,04003,Jan,43.2
1918,04003,Jan,41
1919,04003,Jan,39.6
1920,04003,Jan,43.7
1921,04003,Jan,44.8
1922,04003,Jan,41
1923,04003,Jan,48.3
1924,04003,Jan,40.7
1925,04003,Jan,40.4
1926,04003,Jan,38.7
1927,04003,Jan,48.3
1928,04003,Jan,44.4
1929,04003,Jan,40.6
1930,04003,Jan,42.5
1931,04003,Jan,41
1932,04003,Jan,37.7
1933,04003,Jan,40.3
1934,04003,Jan,42.7
1935,04003,Jan,46.1
1936,04003,Jan,43.2
1937,04003,Jan,37.1
1938,04003,Jan,45
1939,04003,Jan,42.7
1940,04003,Jan,44.5
1941,04003,Jan,44.6
1942,04003,Jan,45.2
1943,04003,Jan,44.6
1944,04003,Jan,40.5
1945,04003,Jan,43.1
1946,04003,Jan,39.8
1947,04003,Jan,38.9
1948,04003,Jan,42.6
1949,04003,Jan,35.2
1950,04003,Jan,44.6
1951,04003,Jan,42.2
1952,04003,Jan,45.3
1953,04003,Jan,46.1
1954,04003,Jan,45.5
1955,04003,Jan,39.7
1956,04003,Jan,47
1957,04003,Jan,46.8
1958,04003,Jan,42.1
1959,04003,Jan,46.7
1960,04003,Jan,39.5
1961,04003,Jan,44
1962,04003,Jan,41.6
1963,04003,Jan,42.2
1964,04003,Jan,39.7
1965,04003,Jan,46.2
1966,04003,Jan,40.1
1967,04003,Jan,43.1
1968,04003,Jan,44
1969,04003,Jan,47.7
1970,04003,Jan,42.5
1971,04003,Jan,44.4
1972,04003,Jan,44.7
1973,04003,Jan,41
1974,04003,Jan,44.7
